sb_mb,sb_gb,low14_avg,low14_med,low14_sd,low14_n,low5_avg,high5_avg,stage5_total_avg,low5_med,high5_med,stage5_total_med,high5_max,high5_sd,high5_n
128,0.125,39.78333333333333,40.0,14.497231536476963,120,22.870967741935484,93.32142857142857,116.19239631336406,21.0,91.5,112.5,251.0,70.04746022286226,28
256,0.25,39.858333333333334,40.0,12.807091676966408,120,30.933333333333334,122.85714285714286,153.7904761904762,33.0,135.0,168.0,303.0,89.88552810806257,28
512,0.5,40.00826446280992,40.0,13.763946116226625,121,37.266666666666666,131.78571428571428,169.05238095238093,31.5,81.5,113.0,430.0,112.28610050824162,28
1024,1.0,39.833333333333336,40.0,13.52672252329522,120,40.06666666666667,171.71428571428572,211.78095238095239,24.5,87.0,111.5,493.0,154.60845872785902,28
1504,1.46875,39.84297520661157,40.0,12.547436117853588,121,40.766666666666666,168.67857142857142,209.4452380952381,26.5,77.0,103.5,498.0,153.2430500804496,28
2048,2.0,40.00833333333333,40.0,12.29735461615853,120,40.0,174.64285714285714,214.64285714285714,27.5,82.0,109.5,496.0,157.0805558317393,28
4096,4.0,40.00833333333333,40.0,12.57013380552844,120,37.63333333333333,146.7037037037037,184.33703703703702,28.0,82.0,110.0,466.0,127.98866119188054,27
8192,8.0,40.00833333333333,40.0,12.903162295430615,120,39.87096774193548,169.64285714285714,209.51382488479263,31.0,77.0,108.0,468.0,150.59482401599388,28
12288,12.0,40.00826446280992,40.0,12.655313369966107,121,40.03333333333333,173.67857142857142,213.71190476190475,29.5,80.0,109.5,446.0,152.09655147105656,28
16384,16.0,40.016666666666666,40.0,13.575089522929694,120,40.0,168.60714285714286,208.60714285714286,32.0,83.5,115.5,474.0,149.23407770673424,28
24576,24.0,40.025,40.0,12.768099897792153,120,30.766666666666666,110.71428571428571,141.48095238095237,20.0,48.5,68.5,471.0,123.58480522148608,28
