stage,query_ids,sb_mb,work_mem_mb,plan_supported,missing_plan_anchors,plan_anchors,prediction_sources,prediction_confidence,dynamic_peak_mb,spill_temp_mb,spill_io_mb,spill_io_mib_s,spilling_operators,infeasible_no_spill_operators,raw_os_capacity_mb,os_capacity_mb,predicted_memavailable_mb,memory_safe,tp_accesses,tp_sb_hits,tp_os_hits,tp_disk_misses,tp_sb_hit_rate,tp_os_cond_hit_rate,tp_combined_hit_rate,tp_refaults,tp_active_refaults,os_evictions,os_streaming_evictions,synthetic_spill_pages,tp_disk_io_mb,predicted_physical_io_mb,memory_footprint_mb,dynamic_pool_safe,available_dynamic_pool_mb,dynamic_pool_excess_mb
stage1_memory_rich,1,128,1,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,27877.0,27877.0,23508.142,True,1344422,1329346,13515,1561,0.98878626,0.89645795,0.99883891,0,0,125727,125727,0,780.5,780.5,130.0,True,15291.0,0.0
stage1_memory_rich,1,256,1,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,27749.0,27749.0,23470.741,True,1344422,1338336,4525,1561,0.99547315,0.74350969,0.99883891,0,0,125919,125919,0,780.5,780.5,258.0,True,15291.0,0.0
stage1_memory_rich,1,512,1,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,27493.0,27493.0,23395.938,True,1344422,1341724,1137,1561,0.99799319,0.42142328,0.99883891,0,0,126303,126303,0,780.5,780.5,514.0,True,15291.0,0.0
stage1_memory_rich,1,1024,1,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,26981.0,26981.0,23246.331,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,127071,127071,0,780.5,780.5,1026.0,True,15291.0,0.0
stage1_memory_rich,1,1504,1,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,26501.0,26501.0,23106.075,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,127791,127791,0,780.5,780.5,1506.0,True,15291.0,0.0
stage1_memory_rich,1,2048,1,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,25957.0,25957.0,22947.118,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,128607,128607,0,780.5,780.5,2050.0,True,15291.0,0.0
stage1_memory_rich,1,4096,1,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,23909.0,23909.0,22348.693,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,131679,131679,0,780.5,780.5,4098.0,True,15291.0,0.0
stage1_memory_rich,1,8192,1,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,19813.0,19813.0,21151.842,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,137823,137823,0,780.5,780.5,8194.0,True,15291.0,0.0
stage1_memory_rich,1,128,32,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,27877.0,27877.0,23508.142,True,1344422,1329346,13515,1561,0.98878626,0.89645795,0.99883891,0,0,125727,125727,0,780.5,780.5,130.0,True,15291.0,0.0
stage1_memory_rich,1,256,32,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,27749.0,27749.0,23470.741,True,1344422,1338336,4525,1561,0.99547315,0.74350969,0.99883891,0,0,125919,125919,0,780.5,780.5,258.0,True,15291.0,0.0
stage1_memory_rich,1,512,32,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,27493.0,27493.0,23395.938,True,1344422,1341724,1137,1561,0.99799319,0.42142328,0.99883891,0,0,126303,126303,0,780.5,780.5,514.0,True,15291.0,0.0
stage1_memory_rich,1,1024,32,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,26981.0,26981.0,23246.331,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,127071,127071,0,780.5,780.5,1026.0,True,15291.0,0.0
stage1_memory_rich,1,1504,32,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,26501.0,26501.0,23106.075,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,127791,127791,0,780.5,780.5,1506.0,True,15291.0,0.0
stage1_memory_rich,1,2048,32,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,25957.0,25957.0,22947.118,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,128607,128607,0,780.5,780.5,2050.0,True,15291.0,0.0
stage1_memory_rich,1,4096,32,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,23909.0,23909.0,22348.693,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,131679,131679,0,780.5,780.5,4098.0,True,15291.0,0.0
stage1_memory_rich,1,8192,32,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,19813.0,19813.0,21151.842,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,137823,137823,0,780.5,780.5,8194.0,True,15291.0,0.0
stage1_memory_rich,1,128,64,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,27877.0,27877.0,23508.142,True,1344422,1329346,13515,1561,0.98878626,0.89645795,0.99883891,0,0,125727,125727,0,780.5,780.5,130.0,True,15291.0,0.0
stage1_memory_rich,1,256,64,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,27749.0,27749.0,23470.741,True,1344422,1338336,4525,1561,0.99547315,0.74350969,0.99883891,0,0,125919,125919,0,780.5,780.5,258.0,True,15291.0,0.0
stage1_memory_rich,1,512,64,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,27493.0,27493.0,23395.938,True,1344422,1341724,1137,1561,0.99799319,0.42142328,0.99883891,0,0,126303,126303,0,780.5,780.5,514.0,True,15291.0,0.0
stage1_memory_rich,1,1024,64,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,26981.0,26981.0,23246.331,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,127071,127071,0,780.5,780.5,1026.0,True,15291.0,0.0
stage1_memory_rich,1,1504,64,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,26501.0,26501.0,23106.075,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,127791,127791,0,780.5,780.5,1506.0,True,15291.0,0.0
stage1_memory_rich,1,2048,64,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,25957.0,25957.0,22947.118,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,128607,128607,0,780.5,780.5,2050.0,True,15291.0,0.0
stage1_memory_rich,1,4096,64,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,23909.0,23909.0,22348.693,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,131679,131679,0,780.5,780.5,4098.0,True,15291.0,0.0
stage1_memory_rich,1,8192,64,True,,q1:q1_p1@256,q1:same_plan_trace,0.95,2.0,0.0,0.0,0.0,0,0,19813.0,19813.0,21151.842,True,1344422,1342861,0,1561,0.99883891,0.0,0.99883891,0,0,137823,137823,0,780.5,780.5,8194.0,True,15291.0,0.0
stage2_reach_limit,3,128,256,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,506.0,496.045,17937.323,23.777208,1,0,27461.0,27782.055,23297.45,True,389156,382096,6454,606,0.98185818,0.91416431,0.99844278,0,0,208550,208550,992,303.0,18240.323,634.0,True,15291.0,0.0
stage2_reach_limit,3,256,256,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,506.0,496.045,17937.323,23.777208,1,0,27333.0,27654.055,23260.049,True,389156,385749,2801,606,0.99124516,0.82213091,0.99844278,0,0,208550,208550,992,303.0,18240.323,762.0,True,15291.0,0.0
stage2_reach_limit,3,512,256,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,506.0,496.045,17937.323,23.777208,1,0,27077.0,27398.055,23185.245,True,389156,387418,1132,606,0.99553392,0.65132336,0.99844278,0,0,208614,208614,992,303.0,18240.323,1018.0,True,15291.0,0.0
stage2_reach_limit,3,1024,256,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,506.0,496.045,17937.323,23.777208,1,0,26565.0,26886.055,23035.639,True,389156,388311,239,606,0.99782863,0.28284024,0.99844278,0,0,208582,208582,992,303.0,18240.323,1530.0,True,15291.0,0.0
stage2_reach_limit,3,1504,256,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,506.0,496.045,17937.323,23.777208,1,0,26085.0,26406.055,22895.383,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208582,208582,992,303.0,18240.323,2010.0,True,15291.0,0.0
stage2_reach_limit,3,2048,256,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,506.0,496.045,17937.323,23.777208,1,0,25541.0,25862.055,22736.426,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208582,208582,992,303.0,18240.323,2554.0,True,15291.0,0.0
stage2_reach_limit,3,4096,256,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,506.0,496.045,17937.323,23.777208,1,0,23493.0,23814.055,22138.001,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208582,208582,992,303.0,18240.323,4602.0,True,15291.0,0.0
stage2_reach_limit,3,8192,256,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,506.0,496.045,17937.323,23.777208,1,0,19397.0,19718.055,20941.149,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208582,208582,992,303.0,18240.323,8698.0,True,15291.0,0.0
stage2_reach_limit,3,128,512,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,762.0,425.181,10249.899,13.586976,1,0,27461.0,27675.036,23190.432,True,389156,382096,6454,606,0.98185818,0.91416431,0.99844278,0,0,208408,208408,850,303.0,10552.899,890.0,True,15291.0,0.0
stage2_reach_limit,3,256,512,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,762.0,425.181,10249.899,13.586976,1,0,27333.0,27547.036,23153.03,True,389156,385749,2801,606,0.99124516,0.82213091,0.99844278,0,0,208408,208408,850,303.0,10552.899,1018.0,True,15291.0,0.0
stage2_reach_limit,3,512,512,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,762.0,425.181,10249.899,13.586976,1,0,27077.0,27291.036,23078.227,True,389156,387418,1132,606,0.99553392,0.65132336,0.99844278,0,0,208472,208472,850,303.0,10552.899,1274.0,True,15291.0,0.0
stage2_reach_limit,3,1024,512,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,762.0,425.181,10249.899,13.586976,1,0,26565.0,26779.036,22928.621,True,389156,388311,239,606,0.99782863,0.28284024,0.99844278,0,0,208440,208440,850,303.0,10552.899,1786.0,True,15291.0,0.0
stage2_reach_limit,3,1504,512,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,762.0,425.181,10249.899,13.586976,1,0,26085.0,26299.036,22788.365,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208440,208440,850,303.0,10552.899,2266.0,True,15291.0,0.0
stage2_reach_limit,3,2048,512,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,762.0,425.181,10249.899,13.586976,1,0,25541.0,25755.036,22629.408,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208440,208440,850,303.0,10552.899,2810.0,True,15291.0,0.0
stage2_reach_limit,3,4096,512,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,762.0,425.181,10249.899,13.586976,1,0,23493.0,23707.036,22030.982,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208440,208440,850,303.0,10552.899,4858.0,True,15291.0,0.0
stage2_reach_limit,3,8192,512,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,762.0,425.181,10249.899,13.586976,1,0,19397.0,19611.036,20834.131,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208440,208440,850,303.0,10552.899,8954.0,True,15291.0,0.0
stage2_reach_limit,3,128,1024,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1274.0,283.454,3416.633,4.528992,1,0,27461.0,27461.0,22976.395,True,389156,382096,6454,606,0.98185818,0.91416431,0.99844278,0,0,208124,208124,566,303.0,3719.633,1402.0,True,15291.0,0.0
stage2_reach_limit,3,256,1024,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1274.0,283.454,3416.633,4.528992,1,0,27333.0,27333.0,22938.994,True,389156,385749,2801,606,0.99124516,0.82213091,0.99844278,0,0,208124,208124,566,303.0,3719.633,1530.0,True,15291.0,0.0
stage2_reach_limit,3,512,1024,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1274.0,283.454,3416.633,4.528992,1,0,27077.0,27077.0,22864.191,True,389156,387418,1132,606,0.99553392,0.65132336,0.99844278,0,0,208188,208188,566,303.0,3719.633,1786.0,True,15291.0,0.0
stage2_reach_limit,3,1024,1024,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1274.0,283.454,3416.633,4.528992,1,0,26565.0,26565.0,22714.584,True,389156,388311,239,606,0.99782863,0.28284024,0.99844278,0,0,208156,208156,566,303.0,3719.633,2298.0,True,15291.0,0.0
stage2_reach_limit,3,1504,1024,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1274.0,283.454,3416.633,4.528992,1,0,26085.0,26085.0,22574.328,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208156,208156,566,303.0,3719.633,2778.0,True,15291.0,0.0
stage2_reach_limit,3,2048,1024,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1274.0,283.454,3416.633,4.528992,1,0,25541.0,25541.0,22415.371,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208156,208156,566,303.0,3719.633,3322.0,True,15291.0,0.0
stage2_reach_limit,3,4096,1024,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1274.0,283.454,3416.633,4.528992,1,0,23493.0,23493.0,21816.946,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208156,208156,566,303.0,3719.633,5370.0,True,15291.0,0.0
stage2_reach_limit,3,8192,1024,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1274.0,283.454,3416.633,4.528992,1,0,19397.0,19397.0,20620.095,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,208156,208156,566,303.0,3719.633,9466.0,True,15291.0,0.0
stage2_reach_limit,3,128,1150,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1400.0,0.0,0.0,0.0,0,0,27461.0,27408.327,22923.722,True,389156,382096,6454,606,0.98185818,0.91416431,0.99844278,0,0,207558,207558,0,303.0,303.0,1528.0,True,15291.0,0.0
stage2_reach_limit,3,256,1150,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1400.0,0.0,0.0,0.0,0,0,27333.0,27280.327,22886.321,True,389156,385749,2801,606,0.99124516,0.82213091,0.99844278,0,0,207558,207558,0,303.0,303.0,1656.0,True,15291.0,0.0
stage2_reach_limit,3,512,1150,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1400.0,0.0,0.0,0.0,0,0,27077.0,27024.327,22811.518,True,389156,387418,1132,606,0.99553392,0.65132336,0.99844278,0,0,207622,207622,0,303.0,303.0,1912.0,True,15291.0,0.0
stage2_reach_limit,3,1024,1150,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1400.0,0.0,0.0,0.0,0,0,26565.0,26512.327,22661.911,True,389156,388311,239,606,0.99782863,0.28284024,0.99844278,0,0,207590,207590,0,303.0,303.0,2424.0,True,15291.0,0.0
stage2_reach_limit,3,1504,1150,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1400.0,0.0,0.0,0.0,0,0,26085.0,26032.327,22521.655,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,207590,207590,0,303.0,303.0,2904.0,True,15291.0,0.0
stage2_reach_limit,3,2048,1150,True,,q3:q3_p1@256,q3:same_plan_trace,0.95,1400.0,0.0,0.0,0.0,0,0,25541.0,25488.327,22362.698,True,389156,388550,0,606,0.99844278,0.0,0.99844278,0,0,207590,207590,0,303.0,303.0,3448.0,True,15291.0,0.0
