query_id,work_mem_mb,completed_runs,median_service_seconds,p95_service_seconds,mean_ap_physical_iops,max_ap_physical_iops,mean_ap_physical_mib_s,low_tp_idle_cpu_percent,mean_incremental_ap_cpu_percent,p95_incremental_ap_cpu_percent,low_tp_running_cpu_samples,ap_temp_mib_per_running_second,ap_read_blocks_per_running_second,low_tp_running_seconds,peak_dynamic_mb,anchor_dir
13,1024,4,21.899,23.635,0.038462,4.0,0.000376,9.955,6.561316,12.785,19,0.0,0.0,19.230591,1673.0,results/formula_query_anchors_20260801/q13_w1024
13,256,4,22.4095,23.627,0.0,0.0,0.0,10.49,5.968947,13.24,19,0.0,0.0,19.23288,1673.0,results/formula_query_anchors_20260801/q13_w256
18,4096,4,47.867,50.36,0.0,0.0,0.0,9.815,6.726579,12.365,19,0.0,0.0,19.230798,3346.0,results/formula_query_anchors_20260801/q18_w4096
18,512,4,56.3845,59.949,0.0,0.0,0.0,10.17,6.163158,10.94,19,0.0,0.0,19.241819,3346.0,results/formula_query_anchors_20260801/q18_w512
21,2968,4,45.7325,48.292,0.0,0.0,0.0,9.63,6.625789,12.83,19,0.0,0.0,19.222388,3346.0,results/formula_query_anchors_20260801/q21_w2968
21,512,4,41.4855,44.007,0.0,0.0,0.0,10.035,6.530263,13.115,19,0.0,0.0,19.230992,3346.0,results/formula_query_anchors_20260801/q21_w512
3,1150,4,24.008,25.915,0.236842,24.0,0.002262,11.495,5.277368,12.375,19,0.0,0.0,19.230502,1462.0,results/formula_query_anchors_20260801/q3_w1150
3,256,4,24.0255,24.734,0.0,0.0,0.0,10.05,6.466316,13.56,19,0.0,0.0,19.249061,1462.0,results/formula_query_anchors_20260801/q3_w256
5,1024,4,18.13,20.591,0.064516,6.0,0.000504,10.025,6.528947,12.455,19,0.0,77507.537174,19.240632,1462.0,results/formula_query_anchors_20260801/q5_w1024
5,256,4,17.5825,19.47,0.0,0.0,0.0,9.645,6.624474,13.205,19,0.0,76648.792648,19.213362,1462.0,results/formula_query_anchors_20260801/q5_w256
7,1083,4,18.6575,21.561,0.021053,2.0,0.000164,9.68,6.321579,13.61,19,0.0,75724.197961,19.23162,1462.0,results/formula_query_anchors_20260801/q7_w1083
7,256,4,18.112,21.598,0.0,0.0,0.0,9.49,7.024211,13.29,19,0.0,74938.180073,19.214678,1462.0,results/formula_query_anchors_20260801/q7_w256
9,1174,4,38.2865,41.93,0.005882,1.0,4.6e-05,9.745,6.536579,12.665,19,0.0,0.0,19.243926,1673.0,results/formula_query_anchors_20260801/q9_w1174
9,256,4,39.36,42.968,0.0,0.0,0.0,9.89,6.648421,11.67,19,0.0,0.052026,19.221302,1673.0,results/formula_query_anchors_20260801/q9_w256
