total_mem_mb,shared_buffers_mb,work_mem_mb,workload,query,run,elapsed_ms,blks_hit,blks_read,miss_rate_pct,source
512,128,16,tpcc,TPCC_CUST_FULLSORT,1,13374.873,379,233863,99.8382,results_large_20260504_095821
512,128,16,tpcc,TPCC_CUST_FULLSORT,2,13537.853,423,233819,99.8194,results_large_20260504_095821
512,128,16,tpcc,TPCC_CUST_FULLSORT,3,13556.1,532,233787,99.773,results_large_20260504_095821
512,128,16,tpcc,TPCC_OL_SORT,1,21947.326,619,418805,99.8524,results_large_20260504_095821
512,128,16,tpcc,TPCC_OL_SORT,2,21733.312,656,418768,99.8436,results_large_20260504_095821
512,128,16,tpcc,TPCC_OL_SORT,3,21725.95,765,418736,99.8176,results_large_20260504_095821
512,128,16,tpcc,TPCC_STOCK_SCAN,1,22237.554,302,440598,99.9315,results_large_20260504_095821
512,128,16,tpcc,TPCC_STOCK_SCAN,2,22854.386,335,440488,99.924,results_large_20260504_095821
512,128,16,tpcc,TPCC_STOCK_SCAN,3,22857.76,444,440456,99.8993,results_large_20260504_095821
512,128,16,tpcc,TPCC_WH_SUMMARY,1,21741.309,293,418907,99.9301,results_large_20260504_095821
512,128,16,tpcc,TPCC_WH_SUMMARY,2,21741.514,336,418864,99.9198,results_large_20260504_095821
512,128,16,tpcc,TPCC_WH_SUMMARY,3,21736.472,445,418832,99.8939,results_large_20260504_095821
512,128,16,tpch,Q12_JOIN,1,74090.701,24119,1426169,98.337,results_large_20260504_095821
512,128,16,tpch,Q12_JOIN,2,73946.052,23812,1426553,98.3582,results_large_20260504_095821
512,128,16,tpch,Q12_JOIN,3,73947.086,23767,1426521,98.3612,results_large_20260504_095821
512,128,16,tpch,Q13_HASHJOIN,1,19975.204,14455,282776,95.1368,results_large_20260504_095821
512,128,16,tpch,Q13_HASHJOIN,2,19669.911,14641,282667,95.0755,results_large_20260504_095821
512,128,16,tpch,Q13_HASHJOIN,3,19712.616,14634,282597,95.0766,results_large_20260504_095821
512,128,16,tpch,Q18_LARGE_VOL,1,93910.618,15246,2531606,99.4014,results_large_20260504_095821
512,128,16,tpch,Q18_LARGE_VOL,2,93791.571,15387,2531388,99.3958,results_large_20260504_095821
512,128,16,tpch,Q18_LARGE_VOL,3,93503.803,15656,2531196,99.3853,results_large_20260504_095821
512,128,16,tpch,Q1_AGG,1,57911.359,340,1124628,99.9698,results_large_20260504_095821
